  4110	إضافة بيانات تسويات الضــــــــم الجماعــــــي                                                                          	#                                                                                                   	         1	          -1	إضافة                                                                                                                                                                                                                                                           
  4111	إضافة بيانات تسويات الخصـــــم الجماعــــــي                                                                            	#                                                                                                   	         1	          -1	إضافة                                                                                                                                                                                                                                                           
  7106	إضافة قراءة مشترك عن طريق الجوال                                                                                        	#                                                                                                   	         0	          -1	إضافة                                                                                                                                                                                                                                                           
  7107	إضافة قراءة مشترك عن طريق المحفظات الإلكترونية                                                                          	#                                                                                                   	         0	          -1	إضافة                                                                                                                                                                                                                                                           
  7206	إضافة عملية تسديد عن طريق الجوال                                                                                        	#                                                                                                   	         0	          -1	إضافة                                                                                                                                                                                                                                                           
  7207	إضافة عملية تسديد عن طريق المحفظات الإلكترونية                                                                          	#                                                                                                   	         0	          -1	إضافة                                                                                                                                                                                                                                                           
  9014	تعديـل بيانات المشتركين جماعي                                                                                           	#                                                                                                   	         1	          -1	تعديل, بحث                                                                                                                                                                                                                                                      
  9015	حذف أو إعتمـــاد طـلـبـات التعديـــل في بيانات المشتركين المرفوعــه عبر الجوال                                          	#                                                                                                   	         1	          -1	إضافة, تعديل, حذف, إعتماد                                                                                                                                                                                                                                       
  9901	تسجيل الدخول                                                                                                            	#                                                                                                   	         0	          -1	إستيراد                                                                                                                                                                                                                                                         
  9902	تسجيل الخروج                                                                                                            	#                                                                                                   	         0	          -1	                                                                                                                                                                                                                                                                
  9903	تغيير كلمة المرور الخاصة بالمستخدم الحالي                                                                               	#                                                                                                   	         0	          -1	طباعة, ترحيل, فك الترحيل                                                                                                                                                                                                                                        
  9904	شاشة إرسال الرسائل القصيرة                                                                                              	#                                                                                                   	         0	          -1	تصدير, إرسال                                                                                                                                                                                                                                                    
  7310	قيود الأرصدة الإفتتاحية                                                                                                 	AccOpeningBalMenu                                                                                   	         1	           0	إضافة, تعديل, حذف, بحث, طباعة, ترحيل, فك الترحيل                                                                                                                                                                                                                
 10808	تهيئة و إعداد بيانات المجموعات الرئيسية لمراكز التكلفة                                                                  	AccountMenu                                                                                         	         1	           3	إضافة, تعديل, بحث                                                                                                                                                                                                                                               
 10809	تهيئة و إعداد بيانات مراكز التكلفة                                                                                      	AccountMenu                                                                                         	         1	           4	إضافة, تعديل, بحث                                                                                                                                                                                                                                               
  1006	تهيئة و إعداد بيانات مجموعات الحسابات القاعدية للدليل المحاسبي                                                          	AccountMenu                                                                                         	         1	           6	إضافة, تعديل, حذف, بحث                                                                                                                                                                                                                                          
  1007	تهيئة و إعداد بيانات أرقام الحسابات المالية الفرعية                                                                     	AccountMenu                                                                                         	         1	           7	إضافة, تعديل, حذف, بحث, تفعيل, توقيف                                                                                                                                                                                                                            
 10810	تهيئة و إعداد بيانات الصناديق الرئيسية - وربطها بالدليل المحاسبي                                                        	AccountMenu                                                                                         	         1	           9	إضافة, تعديل, حذف, بحث, تفعيل, توقيف                                                                                                                                                                                                                            
 10811	تهيئة و إعداد بيانات البنوك - وربطها بالدليل المحاسبي                                                                   	AccountMenu                                                                                         	         1	          11	إضافة, تعديل, حذف, بحث, تفعيل, توقيف                                                                                                                                                                                                                            
 10812	تهيئة و إعداد بيانات العملاء - وربطها بالدليل المحاسبي                                                                  	AccountMenu                                                                                         	         1	          12	إضافة, تعديل, حذف, بحث, تفعيل, توقيف                                                                                                                                                                                                                            
 10813	تهيئة و إعداد بيانات المالكين/المساهمين - وربطها بالدليل المحاسبي                                                       	AccountMenu                                                                                         	         1	          13	إضافة, تعديل, حذف, بحث, تفعيل, توقيف                                                                                                                                                                                                                            
 10814	تهيئة و إعداد بيانات الموردين - وربطها بالدليل المحاسبي                                                                 	AccountMenu                                                                                         	         1	          14	إضافة, تعديل, حذف, بحث, تفعيل, توقيف                                                                                                                                                                                                                            
 10815	تهيئة و إعداد بيانات العمال والموظفين - وربطها بالدليل المحاسبي                                                         	AccountMenu                                                                                         	         1	          15	إضافة, تعديل, حذف, بحث, تفعيل, توقيف                                                                                                                                                                                                                            
  7101	معاجة بيانات القراءات الشهرية                                                                                           	AddBillAndReadMenu                                                                                  	         1	           0	إضافة, تعديل, حذف, بحث                                                                                                                                                                                                                                          
  7102	إضافة بيانات قراءات المشتركين - جماعي                                                                                   	AddBillAndReadMenu                                                                                  	         1	           1	إضافة, بحث                                                                                                                                                                                                                                                      
  7103	إستيراد وحفظ بيانات القراءات المـًـدخله عن بعد - الجوال                                                                 	AddBillAndReadMenu                                                                                  	         1	           2	بحث, إستيراد                                                                                                                                                                                                                                                    
  7104	حذف أو تصحيـــح بيانات القراءات المـًـدخله عن بعد التي لم يتم إعتمادها - الجوال                                         	AddBillAndReadMenu                                                                                  	         1	           4	تعديل, حذف, بحث                                                                                                                                                                                                                                                 
  7201	معاجة بيانات التسديدات الشهرية                                                                                          	AddBillAndReadMenu                                                                                  	         1	           6	إضافة, تعديل, حذف, بحث, طباعة                                                                                                                                                                                                                                   
  7202	إضافة بيانات تسديدات المشتركين - جماعي                                                                                  	AddBillAndReadMenu                                                                                  	         1	           7	إضافة, بحث                                                                                                                                                                                                                                                      
  7203	معاجة بيانات التسديدات - شاشة مجموعات الإدخال                                                                           	AddBillAndReadMenu                                                                                  	         1	           8	إضافة, تعديل, حذف, بحث, طباعة, ترحيل, فك الترحيل                                                                                                                                                                                                                
  7204	إستيراد وحفظ بيانات التسديدات المـًـدخله عن بعد - الجوال                                                                	AddBillAndReadMenu                                                                                  	         1	           9	بحث, ترحيل, فك الترحيل, إستيراد                                                                                                                                                                                                                                 
  7205	معالجة بيانات عكـــ(إلغاء و ضم)ـــس تسديد الجوال الـمُـدخل بالخطاء                                                      	AddBillAndReadMenu                                                                                  	         1	          11	إضافة, تعديل, حذف, بحث, طباعة, ترحيل, فك الترحيل                                                                                                                                                                                                                
  6101	إضافة بيانات حالات و مشاكل المشتركين الشهريه                                                                            	AddCstMonthProblemsMenu                                                                             	         1	           0	إضافة                                                                                                                                                                                                                                                           
  6201	تعديـل وحذف بيانات حالات و مشاكل المشتركين الشهريه                                                                      	AddCstMonthProblemsMenu                                                                             	         1	           2	تعديل, حذف, بحث                                                                                                                                                                                                                                                 
  4101	إضافة بيانات تسويات التراكم                                                                                             	AddTaswiatMenu                                                                                      	         1	           0	إضافة                                                                                                                                                                                                                                                           
  4102	إضافة بيانات تسويات خطأ القراءة                                                                                         	AddTaswiatMenu                                                                                      	         1	           2	إضافة                                                                                                                                                                                                                                                           
